Message ID,Message Text
1381319,"aap ye daily login karte hai kya?

ye apko daily din mein ek second ke liye open karni hogi

#Airdrop 

Install Bondex Origin App using my referral code : 4G5RQ

Google play store"
1381318,"aap ye daily login karte hai kya?

ye apko daily din mein ek second ke liye open karni hogi

#Airdrop 

Install Bondex Origin App using my referral code : 4G5RQ

Google play store=
Apple app store="
1381312,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381310,Dev based and great team!!!
1381309,Check official floki frunk puppy!!! Don't miss this chance!
1381308,Looking for GOOD investment?? OFFICIAL FLOKI is the one!! check this out now!! Your money is 100 % safe here‼️
1381307,Check OFFICIAL FLOKI FRUNK PUPPY guys . This coin will be RISE ABOVE ALL and have a STRONG COMMUNITY 🔥‼️ FINANCIAL FREEDOM INCOMING WHEN YOU APE HERE AND HOLD!💸
1381306,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
1381305,"hopefully. I am holding and staking YFDAI for long term. btw, do you hold YFDAI NFT? They already shared the farming pools rewards for all the NFT holders. IIRC, it's around 3 YFDAI."
1381304,"**Are YOU joining our journey to the Milkyway?** 🌌 

🔒LIQUIDITY LOCKED FOR 6 MONTHS🔒

Buy tax 12% 
 ⁃ 3% marketing 
 ⁃ 3% Liquidity Pool
 ⁃ 6% rewards 

Sell tax 22%
 ⁃ 6% marketing 
 ⁃ 4% Liquidity Pool
 ⁃ 12% rewards

PRIVATE SALE WILL OPEN BEFORE FRIDAY! 👩‍🚀🙌

**Chat: @ Intergalactic_ADA_rewards**"
